product_id,name,description,category,brand,price,cost,weight,dimensions,stock_quantity,rating,reviews_count,date_added
PROD_000001,Triple-buffered zero tolerance secured line Books,Parent shake themselves arrive choose wide yard. Sound especially group person traditional draw. Decide actually just.,Books,BrandA,272.98,163.79,2.21,13x28x16,782,2.6,23,2025-05-14
PROD_000002,Enhanced heuristic intranet Home,"Question we million certainly task. Result pressure way of.
Staff half bit understand.
Save live economic discussion ten avoid. Into save manager also happy produce seem.",Home & Garden,BrandE,35.07,21.04,1.05,22x14x7,395,3.0,391,2025-07-13
PROD_000003,Self-enabling exuding synergy Sports,"Dark drop deal music character feel. Catch shoulder later fund first thing. Reveal table voice point I movement.
Sound which yet school traditional.",Sports,BrandE,147.06,88.24,3.43,8x9x8,403,2.5,173,2024-07-30
PROD_000004,Expanded systemic open architecture Sports,"Light serious sell reason including. Number test truth someone. Condition occur exactly sign.
Cause send a voice your. Control drive often test believe maybe.",Sports,BrandB,470.08,282.05,1.08,21x17x21,41,1.2,70,2024-07-31
PROD_000005,Exclusive cohesive middleware Beauty,"Little for few partner final land. Week growth beyond stock mean research pressure.
Challenge school happen modern common. Imagine movie history whether decision just anything.",Beauty,BrandD,173.19,103.91,2.64,9x24x21,143,2.3,313,2025-05-06
PROD_000006,Object-based coherent migration Books,"War red if participant middle.
Example ball bed southern dream table religious. Director believe require.
Include shoulder it world wife model. Student fill face able player law.",Books,BrandE,89.63,53.78,3.72,14x23x15,519,4.3,272,2024-12-19
PROD_000007,Adaptive explicit instruction set Home,Pm kind partner. Current stop person training rest through. Top everyone who indicate. Man name floor like upon summer challenge away.,Home & Garden,BrandC,357.28,214.37,2.43,5x16x15,689,1.4,213,2024-12-13
PROD_000008,Assimilated composite encryption Sports,"Police see subject its behind must.
Price simply matter ball lawyer. Ground save at none son need.
Send often church star conference. Authority skill Congress meeting teacher quite catch.",Sports,BrandA,160.76,96.46,3.02,13x25x30,995,4.1,295,2025-03-11
PROD_000009,Implemented disintermediate application Clothing,"Half score collection economy. Sport small dream discover whether fast.
Politics great decision once entire successful no. Say affect different ago improve effort.",Clothing,BrandE,363.49,218.09,2.45,21x25x28,634,4.1,194,2025-01-29
PROD_000010,Switchable bi-directional groupware Clothing,Student brother by. Level color arrive appear education. Like real nothing reality likely. Vote take act customer eight house quickly.,Clothing,BrandB,412.61,247.57,0.25,27x8x11,19,2.8,214,2024-09-16
